Time Stamp          EXEC TI BUSFR BUSHR BUSDH BUSSD IDLFR IDLHR IDLSD BLTSL GPRST BUDTF BUDTH IDDTH DAPSI BUSDF BUDF8
2017-11-23 02:30:00   0.428 00000 00000 00000 00000 00472 00000 00236 00128 00413 00000 00000 00000 00000 00000 00000
2017-11-23 02:30:15   0.432 00000 00000 00000 00000 00472 00000 00232 00136 00406 00000 00000 00000 00000 00000 00000
2017-11-23 02:30:30   0.436 00000 00000 00000 00000 00464 00000 00232 00144 00406 00000 00000 00000 00000 00000 00000
2017-11-23 02:30:45   0.440 00000 00000 00000 00000 00464 00000 00232 00128 00406 00000 00000 00000 00000 00000 00000
2017-11-23 02:31:00   0.444 00000 00000 00000 00000 00464 00000 00232 00128 00406 00000 00000 00000 00000 00000 00000
2017-11-23 02:31:15   0.449 00000 00000 00000 00000 00464 00000 00232 00128 00406 00000 00000 00000 00000 00000 00000
2017-11-23 02:31:30   0.453 00000 00000 00000 00000 00456 00000 00228 00144 00399 00000 00000 00000 00000 00000 00000
2017-11-23 02:31:45   0.457 00000 00000 00000 00000 00456 00000 00228 00128 00399 00000 00000 00000 00000 00000 00000
2017-11-23 02:32:00   0.461 00000 00000 00000 00000 00456 00000 00228 00128 00399 00000 00000 00000 00000 00000 00000
2017-11-23 02:32:15   0.465 00000 00000 00000 00000 00456 00000 00228 00128 00399 00000 00000 00000 00000 00000 00000
2017-11-23 02:32:30   0.469 00000 00000 00000 00000 00456 00000 00224 00136 00392 00000 00000 00000 00000 00000 00000
2017-11-23 02:32:45   0.474 00000 00000 00000 00000 00448 00000 00224 00128 00392 00000 00000 00000 00000 00000 00000
2017-11-23 02:33:00   0.478 00000 00000 00000 00000 00448 00000 00224 00128 00392 00000 00000 00000 00000 00000 00000
2017-11-23 02:33:15   0.482 00000 00000 00000 00000 00448 00000 00224 00128 00392 00000 00000 00000 00000 00000 00000
2017-11-23 02:33:30   0.486 00000 00000 00000 00000 00448 00000 00224 00128 00392 00000 00000 00000 00000 00000 00000
2017-11-23 02:33:45   0.490 00000 00000 00000 00000 00440 00000 00220 00144 00385 00000 00000 00000 00000 00000 00000
2017-11-23 02:34:00   0.494 00000 00000 00000 00000 00440 00000 00220 00128 00385 00000 00000 00000 00000 00000 00000
2017-11-23 02:34:15   0.499 00000 00000 00000 00000 00440 00000 00220 00128 00385 00000 00000 00000 00000 00000 00000
2017-11-23 02:34:30   0.503 00000 00000 00000 00000 00440 00000 00220 00128 00385 00000 00000 00000 00000 00000 00000
2017-11-23 02:34:45   0.507 00000 00000 00000 00000 00432 00000 00216 00144 00378 00000 00000 00000 00000 00000 00000
2017-11-23 02:35:00   0.511 00000 00000 00000 00000 00432 00000 00216 00128 00378 00000 00000 00000 00000 00000 00000
2017-11-23 02:35:15   0.515 00000 00000 00000 00000 00432 00000 00216 00128 00378 00000 00000 00000 00000 00000 00000
2017-11-23 02:35:30   0.519 00000 00000 00000 00000 00432 00000 00216 00128 00378 00000 00000 00000 00000 00000 00000
2017-11-23 02:35:45   0.524 00000 00000 00000 00000 00432 00000 00212 00136 00371 00000 00000 00000 00000 00000 00000
2017-11-23 02:36:00   0.528 00000 00000 00000 00000 00424 00000 00212 00128 00371 00000 00000 00000 00000 00000 00000
2017-11-23 02:36:15   0.532 00000 00000 00000 00000 00424 00000 00212 00128 00371 00000 00000 00000 00000 00000 00000
2017-11-23 02:36:30   0.536 00000 00000 00000 00000 00424 00000 00212 00128 00371 00000 00000 00000 00000 00000 00000
2017-11-23 02:36:45   0.540 00000 00000 00000 00000 00424 00000 00212 00128 00371 00000 00000 00000 00000 00000 00000
2017-11-23 02:37:00   0.544 00000 00000 00000 00000 00416 00000 00208 00144 00364 00000 00000 00000 00000 00000 00000
2017-11-23 02:37:15   0.549 00000 00000 00000 00000 00416 00000 00208 00128 00364 00000 00000 00000 00000 00000 00000
2017-11-23 02:37:30   0.553 00000 00000 00000 00000 00416 00000 00208 00128 00364 00000 00000 00000 00000 00000 00000
2017-11-23 02:37:45   0.557 00000 00000 00000 00000 00416 00000 00208 00128 00364 00000 00000 00000 00000 00000 00000
2017-11-23 02:38:00   0.561 00000 00000 00000 00000 00408 00000 00204 00144 00357 00000 00000 00000 00000 00000 00000
2017-11-23 02:38:15   0.565 00000 00000 00000 00000 00408 00000 00204 00128 00357 00000 00000 00000 00000 00000 00000
2017-11-23 02:38:30   0.569 00000 00000 00000 00000 00408 00000 00204 00128 00357 00000 00000 00000 00000 00000 00000
2017-11-23 02:38:45   0.574 00000 00000 00000 00000 00408 00000 00204 00128 00357 00000 00000 00000 00000 00000 00000
2017-11-23 02:39:00   0.578 00000 00000 00000 00000 00408 00000 00200 00136 00350 00000 00000 00000 00000 00000 00000
2017-11-23 02:39:15   0.582 00000 00000 00000 00000 00400 00000 00200 00128 00350 00000 00000 00000 00000 00000 00000
2017-11-23 02:39:30   0.586 00000 00000 00000 00000 00400 00000 00200 00128 00350 00000 00000 00000 00000 00000 00000
2017-11-23 02:39:45   0.590 00000 00000 00000 00000 00400 00000 00200 00128 00350 00000 00000 00000 00000 00000 00000
2017-11-23 02:40:00   0.594 00000 00000 00000 00000 00400 00000 00200 00128 00350 00000 00000 00000 00000 00000 00000
2017-11-23 02:40:15   0.599 00000 00000 00000 00000 00392 00000 00196 00144 00343 00000 00000 00000 00000 00000 00000
2017-11-23 02:40:30   0.603 00000 00000 00000 00000 00392 00000 00196 00128 00343 00000 00000 00000 00000 00000 00000
2017-11-23 02:40:45   0.607 00000 00000 00000 00000 00392 00000 00196 00128 00343 00000 00000 00000 00000 00000 00000
2017-11-23 02:41:00   0.611 00000 00000 00000 00000 00392 00000 00196 00128 00343 00000 00000 00000 00000 00000 00000
2017-11-23 02:41:15   0.615 00000 00000 00000 00000 00384 00000 00192 00144 00336 00000 00000 00000 00000 00000 00000
2017-11-23 02:41:30   0.619 00000 00000 00000 00000 00384 00000 00192 00128 00336 00000 00000 00000 00000 00000 00000
2017-11-23 02:41:45   0.624 00000 00000 00000 00000 00384 00000 00192 00128 00336 00000 00000 00000 00000 00000 00000
2017-11-23 02:42:00   0.628 00000 00000 00000 00000 00384 00000 00192 00128 00336 00000 00000 00000 00000 00000 00000
2017-11-23 02:42:15   0.632 00000 00000 00000 00000 00376 00000 00188 00144 00329 00000 00000 00000 00000 00000 00000
2017-11-23 02:42:30   0.636 00000 00000 00000 00000 00376 00000 00188 00128 00329 00000 00000 00000 00000 00000 00000
2017-11-23 02:42:45   0.640 00000 00000 00000 00000 00376 00000 00188 00128 00329 00000 00000 00000 00000 00000 00000
2017-11-23 02:43:00   0.644 00000 00000 00000 00000 00376 00000 00188 00128 00329 00000 00000 00000 00000 00000 00000
2017-11-23 02:43:15   0.649 00000 00000 00000 00000 00376 00000 00188 00128 00329 00000 00000 00000 00000 00000 00000
2017-11-23 02:43:30   0.653 00000 00000 00000 00000 00368 00000 00184 00144 00322 00000 00000 00000 00000 00000 00000
2017-11-23 02:43:45   0.657 00000 00000 00000 00000 00368 00000 00184 00128 00322 00000 00000 00000 00000 00000 00000
2017-11-23 02:44:00   0.661 00000 00000 00000 00000 00368 00000 00184 00128 00322 00000 00000 00000 00000 00000 00000
2017-11-23 02:44:15   0.665 00000 00000 00000 00000 00368 00000 00184 00128 00322 00000 00000 00000 00000 00000 00000
2017-11-23 02:44:30   0.669 00000 00000 00000 00000 00360 00000 00180 00144 00315 00000 00000 00000 00000 00000 00000
2017-11-23 02:44:45   0.674 00000 00000 00000 00000 00360 00000 00180 00128 00315 00000 00000 00000 00000 00000 00000
2017-11-23 02:45:00   0.678 00000 00000 00000 00000 00360 00000 00180 00128 00315 00000 00000 00000 00000 00000 00000
2017-11-23 02:45:15   0.682 00000 00000 00000 00000 00360 00000 00180 00128 00315 00000 00000 00000 00000 00000 00000
2017-11-23 02:45:30   0.686 00000 00000 00000 00000 00360 00000 00176 00136 00308 00000 00000 00000 00000 00000 00000
2017-11-23 02:45:45   0.690 00000 00000 00000 00000 00352 00000 00176 00128 00308 00000 00000 00000 00000 00000 00000
2017-11-23 02:46:00   0.694 00000 00000 00000 00000 00352 00000 00176 00128 00308 00000 00000 00000 00000 00000 00000
2017-11-23 02:46:15   0.699 00000 00000 00000 00000 00352 00000 00176 00128 00308 00000 00000 00000 00000 00000 00000
2017-11-23 02:46:30   0.703 00000 00000 00000 00000 00352 00000 00176 00128 00308 00000 00000 00000 00000 00000 00000
2017-11-23 02:46:45   0.707 00000 00000 00000 00000 00344 00000 00172 00144 00301 00000 00000 00000 00000 00000 00000
2017-11-23 02:47:00   0.711 00000 00000 00000 00000 00344 00000 00172 00128 00301 00000 00000 00000 00000 00000 00000
2017-11-23 02:47:15   0.715 00000 00000 00000 00000 00344 00000 00172 00128 00301 00000 00000 00000 00000 00000 00000
2017-11-23 02:47:30   0.719 00000 00000 00000 00000 00344 00000 00172 00128 00301 00000 00000 00000 00000 00000 00000
2017-11-23 02:47:45   0.724 00000 00000 00000 00000 00336 00000 00168 00144 00294 00000 00000 00000 00000 00000 00000
2017-11-23 02:48:00   0.728 00000 00000 00000 00000 00336 00000 00168 00128 00294 00000 00000 00000 00000 00000 00000
2017-11-23 02:48:15   0.732 00000 00000 00000 00000 00336 00000 00168 00128 00294 00000 00000 00000 00000 00000 00000
2017-11-23 02:48:30   0.736 00000 00000 00000 00000 00336 00000 00168 00128 00294 00000 00000 00000 00000 00000 00000
2017-11-23 02:48:45   0.740 00000 00000 00000 00000 00336 00000 00164 00136 00287 00000 00000 00000 00000 00000 00000
2017-11-23 02:49:00   0.744 00000 00000 00000 00000 00328 00000 00164 00128 00287 00000 00000 00000 00000 00000 00000
